date,samsung,kospi200,samsung_dividends yields(annualized),delta_samsung,delta_kospi,vol_samsung,vol_kospi,corr,zero_rate_3M,zero_rate_6M,zero_rate_1Y,zero_rate_2Y,zero_rate_3Y,pnl
2023-06-16,"71,800",345,1.84,,,0.2026,0.1133,0.8324,3.484,3.3986,3.502,3.637,3.5852,0
2023-06-19,"71,200",343,1.84,,,0.1971,0.1122,0.8293,3.4903,3.4226,3.514,3.6438,3.5828,0
2023-06-20,"71,400",343,1.84,,,0.194,0.1112,0.8347,3.495,3.4443,3.503,3.6154,3.5669,0
2023-06-21,"70,500",339,1.84,,,0.1883,0.1077,0.833,3.4895,3.4346,3.502,3.6389,3.5706,0
2023-06-22,"71,300",341,1.84,,,0.1891,0.1139,0.8414,3.499,3.4575,3.506,3.6601,3.5918,0
2023-06-23,"71,600",338,1.84,,,0.1886,0.1128,0.8486,3.5469,3.474,3.51,3.6773,3.6089,0
2023-06-26,"72,400",340,1.84,,,0.1835,0.1146,0.7796,3.5039,3.4734,3.505,3.6346,3.5675,0
2023-06-27,"72,600",340,1.84,,,0.1832,0.1135,0.7899,3.5195,3.4684,3.501,3.6163,3.5369,0
2023-06-28,"72,700",338,1.84,,,0.1779,0.1101,0.7884,3.5184,3.4684,3.508,3.6346,3.5561,0
2023-06-29,"72,400",336,1.84,,,0.1725,0.1091,0.7636,3.5086,3.4818,3.525,3.6567,3.5833,0
2023-06-30,"72,200",338,1.84,,,0.168,0.1083,0.763,3.5339,3.5206,3.563,3.7405,3.6617,0
2023-07-03,"73,000",343,1.84,,,0.1634,0.1077,0.7304,3.5278,3.5355,3.559,3.6773,3.6124,0
2023-07-04,"73,000",342,1.84,,,0.1641,0.119,0.7437,3.5297,3.5232,3.562,3.6784,3.6186,0
2023-07-05,"72,000",339,1.84,,,0.1589,0.1157,0.7393,3.5127,3.5219,3.564,3.6794,3.6175,0
2023-07-06,"71,600",336,1.84,,,0.1631,0.1173,0.7639,3.5393,3.5368,3.59,3.735,3.676,0
2023-07-07,"69,900",332,1.84,,,0.1603,0.1191,0.7644,3.5723,3.5713,3.623,3.7832,3.7355,0
2023-07-10,"69,500",331,1.84,,,0.1808,0.1243,0.7997,3.5905,3.6086,3.665,3.8426,3.7958,0
2023-07-11,"71,500",337,1.84,,,0.1767,0.1211,0.8019,3.6152,3.6126,3.629,3.7524,3.7029,0
2023-07-12,"71,900",339,1.84,,,0.204,0.1369,0.8565,3.5982,3.6081,3.627,3.7626,3.7038,0
2023-07-13,"71,900",341,1.84,,,0.1987,0.1344,0.8571,3.5883,3.5955,3.574,3.6514,3.6012,0
2023-07-14,"73,400",347,1.84,,,0.1927,0.1323,0.8442,3.5818,3.5838,3.592,3.6664,3.6132,0
2023-07-17,"73,300",346,1.84,,,0.2033,0.1451,0.8702,3.5756,3.5769,3.588,3.6635,3.6102,0
2023-07-18,"72,000",343,1.84,,,0.1972,0.1412,0.8693,3.5765,3.5692,3.58,3.6392,3.5953,0
2023-07-19,"71,700",343,1.84,,,0.2035,0.141,0.8752,3.562,3.5553,3.542,3.6,3.5418,0
2023-07-20,"71,000",342,1.84,,,0.1979,0.1367,0.8721,3.5553,3.556,3.552,3.6407,3.5801,0
2023-07-21,"70,300",342,1.84,,,0.1957,0.133,0.869,3.5478,3.5393,3.551,3.657,3.6015,0
2023-07-24,"70,400",344,1.84,,,0.1936,0.1289,0.8516,3.5236,3.5431,3.548,3.6642,3.6169,0
2023-07-25,"70,000",345,1.84,,,0.1877,0.127,0.8428,3.5086,3.5414,3.551,3.6937,3.6452,0
2023-07-26,"69,800",341,1.84,,,0.1836,0.1238,0.8225,3.5127,3.5353,3.524,3.6717,3.6273,0
2023-07-27,"71,700",345,1.84,,,0.1781,0.1283,0.7894,3.5103,3.5296,3.506,3.6292,3.587,0
2023-07-28,"70,600",344,1.84,,,0.2018,0.1323,0.8121,3.5116,3.5184,3.521,3.678,3.6355,0
2023-07-31,"69,800",346,1.84,,,0.2048,0.1289,0.7992,3.4844,3.5145,3.523,3.7177,3.6822,0
2023-08-01,"71,100",351,1.84,,,0.2037,0.127,0.7294,3.4981,3.5066,3.494,3.6896,3.648,0
